,period,post.treat,unit_id,gain_rate_fol,gain_rate_non,ts
154,629.0,0,1573,8.589235283204266e-06,4.705753510919915e-06,0
155,625.0,0,1573,2.4049858792971944e-05,3.422366189759938e-06,0
156,614.0,0,1573,8.589235283204266e-06,2.994570416039946e-06,0
157,638.0,0,1573,1.8896317623049383e-05,4.2779577371999225e-06,0
158,640.0,0,1573,3.4356941132817065e-05,8.983711248119837e-06,0
159,617.0,0,1573,3.951048230273962e-05,3.422366189759938e-06,0
160,639.0,0,1573,1.3742776453126824e-05,4.2779577371999225e-06,0
161,621.0,0,1573,1.7178470566408533e-05,2.5667746423199534e-06,0
162,619.0,0,1573,2.748555290625365e-05,2.1389788685999612e-06,0
163,616.0,0,1573,3.4356941132817065e-05,3.850161963479931e-06,0
164,632.0,0,1573,6.184249403907072e-05,1.6256239401359707e-05,0
165,624.0,0,1573,2.0614164679690236e-05,2.994570416039946e-06,0
166,618.0,0,1573,6.871388226563413e-06,1.2833873211599767e-06,0
167,633.0,0,1573,2.233201173633109e-05,8.128119700679853e-06,0
168,839.0,0,1574,1.7178470566408532e-06,4.2779577371999227e-07,0
169,863.0,0,1574,0.0,0.0,0
170,853.0,0,1574,0.0,0.0,0
171,860.0,0,1574,0.0,0.0,0
172,855.0,0,1574,0.0,4.2779577371999227e-07,0
173,854.0,0,1574,0.0,0.0,0
174,862.0,0,1574,0.0,0.0,0
175,851.0,0,1574,0.0,4.2779577371999227e-07,0
176,845.0,0,1574,0.0,4.2779577371999227e-07,0
177,842.0,0,1574,0.0,0.0,0
178,859.0,0,1574,0.0,4.2779577371999227e-07,0
179,848.0,0,1574,1.7178470566408532e-06,0.0,0
180,850.0,0,1574,0.0,0.0,0
181,838.0,0,1574,3.4356941132817063e-06,4.2779577371999227e-07,0
182,863.0,0,1575,5.153541169922559e-06,4.2779577371999227e-07,0
183,851.0,0,1575,6.871388226563413e-06,1.711183094879969e-06,0
184,849.0,0,1575,0.0,0.0,0
185,854.0,0,1575,1.7178470566408532e-06,1.2833873211599767e-06,0
186,839.0,0,1575,0.0,0.0,0
187,850.0,0,1575,1.7178470566408532e-06,4.2779577371999227e-07,0
188,842.0,0,1575,3.4356941132817063e-06,0.0,0
189,862.0,0,1575,1.0307082339845118e-05,1.711183094879969e-06,0
190,848.0,0,1575,5.153541169922559e-06,8.555915474399845e-07,0
191,838.0,0,1575,1.7178470566408532e-06,4.2779577371999227e-07,0
192,856.0,0,1575,8.589235283204266e-06,1.2833873211599767e-06,0
193,840.0,0,1575,0.0,4.2779577371999227e-07,0
194,853.0,0,1575,0.0,4.2779577371999227e-07,0
195,855.0,0,1575,3.4356941132817063e-06,4.2779577371999227e-07,0
196,858.0,0,1576,2.9203399962894504e-05,2.1389788685999612e-06,0
197,838.0,0,1576,7.558527049219754e-05,5.989140832079892e-06,0
198,856.0,0,1576,1.546062350976768e-05,1.2833873211599767e-06,0
199,859.0,0,1576,2.4049858792971944e-05,1.2833873211599767e-06,0
200,851.0,0,1576,2.0614164679690236e-05,2.994570416039946e-06,0
201,843.0,0,1576,3.4356941132817065e-05,1.711183094879969e-06,0
202,844.0,0,1576,4.294617641602133e-05,2.994570416039946e-06,0
203,854.0,0,1576,1.3742776453126824e-05,3.850161963479931e-06,0
204,850.0,0,1576,3.951048230273962e-05,5.989140832079892e-06,0
205,848.0,0,1576,3.6074788189457915e-05,3.850161963479931e-06,0
206,862.0,0,1576,1.7178470566408532e-06,2.5667746423199534e-06,0
207,863.0,0,1576,1.8896317623049383e-05,3.422366189759938e-06,0
208,846.0,0,1576,0.000286880458459,1.0267098569279814e-05,0
209,857.0,0,1576,2.748555290625365e-05,4.2779577371999225e-06,0
210,823.0,0,1577,1.7178470566408532e-06,4.2779577371999227e-07,0
211,811.0,0,1577,1.7178470566408532e-06,8.555915474399845e-07,0
212,821.0,0,1577,0.0,1.2833873211599767e-06,0
213,812.0,0,1577,8.589235283204266e-06,4.2779577371999227e-07,0
214,824.0,0,1577,3.4356941132817063e-06,0.0,0
215,815.0,0,1577,1.7178470566408532e-06,4.2779577371999227e-07,0
216,816.0,0,1577,1.7178470566408532e-06,0.0,0
217,832.0,0,1577,0.0,0.0,0
218,825.0,0,1577,0.0,0.0,0
219,818.0,0,1577,0.0,8.555915474399845e-07,0
